2/5/25,,,,,,,,,
County,Auth #,Organization Name,Center Name,Address,Address 2,City,Zip,Phone,Extension
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC","SMALL STEPS INSTITUTE, LLC",5930 SW ARCHER RD.,SUITE 700,GAINESVILLE,32608,3526822474,
ALACHUA,1594,SMALL WORLD DAYCARE & LEARNING CENTER,SMALL WORLD DAYCARE & LEARNING CENTER,1214 NW 4TH STREET,,GAINESVILLE,326014228,3523760917,
ALACHUA,4249,THE KIDZ HOUSE,THE KIDZ HOUSE,4232 NW 6TH ST.,,GAINESVILLE,326064148,3528728621,
ALACHUA,5166,THE OAK TREE CHRISTIAN ACADEMY (NORTH),THE OAK TREE CHRISTIAN ACADEMY (NORTH),1414 NE 23 AVE,,GAINESVILLE,326093869,3523719936,
ALACHUA,4535,THE OAK TREE CHRISTIAN ACADEMY (SOUTH),THE OAK TREE CHRISTIAN ACADEMY (SOUTH),1023 SE 4TH AVE,,GAINESVILLE,326016908,3523363200,
ALACHUA,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",YES I CAN KIDS ACADEMY INC,1734 SE HAWTHORNE RD,,GAINESVILLE,32641,3523715554,
BAKER,2815,ABC CHILDCARE AND LEARNING CENTER LLC,"ABC CHILDCARE & LEARNING CENTER, LLC.",627 S. 5TH ST.,,MACCLENNY,320632603,9042593455,
BAKER,583,"EPISCOPAL CHILDREN'S SERVICES, INC.",ECS BAKER HEAD START AND EARLY HEAD START,402 S 8TH STREET,,MACCLENNY,32063,9042591177,
BAKER,6742,F.L.Y. LEARNING CENTER LLC,F.L.Y. LEARNING CENTER LLC,14061 FRIENDSHIP PLACE,,SANDERSON,320872489,9042740072,
BAKER,6557,KID CITY USA GLEN ST MARY,KID CITY USA GLEN ST MARY,10274 N SHERMAN AVENUE,,GLEN ST. MARY,320405090,9042594899,
BAKER,6400,KID CITY USA MACCLENNY,KID CITY USA MACCLENNY,5418 COUNTY RD 23B,,MACCLENNY,320634145,9042595438,
BAKER,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",MRS. VANESSA LEARNING LODGE INC.,9730 S GLEN AVE,,GLEN ST. MARY,32040,9042590478,
BAKER,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",MRS. VANESSA'S LEARNING BLOCKS,522 S 7TH STREET,,MACCLENNY,32063,9042590495,
BAKER,3563,TINY TOTS DAY CARE CENTER,TINY TOTS DAY CARE CENTER,219 E. MICHIGAN AVE,,MACCLENNY,320632432,9042594737,
BAY,6294,850 KIDS,850 KIDS,1416 W 16TH ST,,PANAMA CITY,324053756,8502155437,
BAY,521,"EARLY EDUCATION AND CARE, INC.",A.D. HARRIS HEAD START ACADEMY,819 E 11TH ST,,PANAMA CITY,32401,8508189003,1103
BAY,5203,ADVENTURE CLUB LEARNING CENTER,ADVENTURE CLUB LEARNING CENTER,2405 E. BALDWIN ROAD,,PANAMA CITY,324055803,8505220171,
BAY,6213,ALL STAR LEARNING ACADEMY INC,ALL STAR LEARNING ACADEMY INC,2516 W. 23RD STREET,,PANAMA CITY,324052361,8508056500,
BAY,521,"EARLY EDUCATION AND CARE, INC.","ARNOLD/EARLY EDUCATION & CARE, INC. HEAD START",550 ALF COLEMAN ROAD,,PANAMA CITY BEACH,32407,8502363070,2408
BAY,3199,BEACH KIDS ACADEMY,BEACH KIDS ACADEMY,2016 ALLISON AVE.,,PANAMA CITY BEACH,324084800,8502306271,
BAY,521,"EARLY EDUCATION AND CARE, INC.",CHAPMAN EARLY EDUCATION CENTER,2928 EAST 11TH STREET,,PANAMA CITY,32401,8508189003,
BAY,978,CHILDCARE NETWORK,CHILDCARE NETWORK #115,5705 HICKORY STREET,,PANAMA CITY,32404,8508729032,
BAY,978,CHILDCARE NETWORK,CHILDCARE NETWORK #148,916 W. 26TH ST.,,LYNN HAVEN,32444,8502652763,
BAY,5610,CHILDWORLD LEARNING CENTER,CHILDWORLD LEARNING CENTER,3430 W. HWY 390,,PANAMA CITY,324052721,8507857322,
BAY,6736,CREATIVE KIDS ACADEMY OF CALLAWAY,CREATIVE KIDS ACADEMY OF CALLAWAY,117 A N HIGHWAY 22 A,,PANAMA CITY,324016276,8502495232,
BAY,5917,"CREATIVE KIDS ACADEMY, INC.","CREATIVE KIDS ACADEMY, INC.",1338 FLORIDA AVENUE,,PANAMA CITY,324012221,8502152674,
BAY,521,"EARLY EDUCATION AND CARE, INC.",EARLY EDUCATION CENTER HEAD START,1215 NORTH EAST AVENUE,,PANAMA CITY,32401,8507475404,
BAY,1610,FBC BAYOU GEORGE CHILDCARE CENTER,FBC BAYOU GEORGE CHILDCARE CENTER,6227 HWY 2301,,PANAMA CITY,324044424,8507637541,
BAY,2808,"FIRST STEP CHILD DEVELOPMENT CENTER, LLC",FIRST STEP CHILD DEVELOPMENT CENTER LLC,105 W. 11TH ST.,,LYNN HAVEN,324442501,8502656904,
BAY,521,"EARLY EDUCATION AND CARE, INC.",FOREST PARK HEAD START ACADEMY,700 WEST 23RD STREET SUITE H,,PANAMA CITY,32405,8508189003,1003
BAY,5584,HARVEST CHRISTIAN ACADEMY,HARVEST CHRISTIAN ACADEMY,3238 E. HWY 390,,PANAMA CITY,324056501,8502719647,
BAY,6625,KID CITY USA PANAMA CITY BEACH,KID CITY USA PANAMA CITY BEACH,7221 PATRONIS DR,,PANAMA CITY,324085744,8502333884,
BAY,1928,"LYNN HAVEN EARLY LEARNING, INC.","LYNN HAVEN EARLY LEARNING, INC.",1849 VIRGINIA AVENUE,,LYNN HAVEN,324444247,8502656221,
BAY,4508,NSA PC CHILD AND YOUTH PROGRAMS,NSA PC CHILD AND YOUTH PROGRAMS,313 SOLOMANS DR.,BLDGS. T-2036 & 632,PANAMA CITY BEACH,324077018,8502344938,
BAY,521,"EARLY EDUCATION AND CARE, INC.",PANA VILLA EARLY HEAD START CENTER,1801 1/2 FLOWERS AVE,,PANAMA CITY,32405,8504811364,
BAY,3304,PONS CHILD CARE AND DEVELOPMENT CTR,PONS CHILD CARE AND DEVELOPMENT CENTER,2626 JENKS AVE.,,PANAMA CITY,324054311,8507857344,
BAY,2713,"PRECIOUS MEMORIES CHILDCARE, INC. 2","PRECIOUS MEMORIES CHILDCARE, INC.2",12112 HWY 231,,YOUNGSTOWN,324662568,8507533285,
BAY,5817,"PRESCHOOL PLAYHOUSE OF NWFL, INC.","PRESCHOOL PLAYHOUSE OF NWFL, INC.",2543 JOHNSON DRIVE,,LYNN HAVEN,324444723,8505715441,
BAY,4201,SHARI'S CHILDREN ACADEMY,SHARI'S CHILDREN ACADEMY,1516 E 11TH ST,,PANAMA CITY,324014120,8502155968,
BAY,3902,SMALL TOWN CHILDCARE & PRESCHOOL,SMALL TOWN CHILDCARE & PRESCHOOL,7713 HIGHWAY 77,,SOUTHPORT,324091579,8502651070,
